Seq. No.,Code,Title,,,
591,327332,Concrete Pipe Manufacturing ,,,
592,32739,Other Concrete Product Manufacturing,,,
593,327390,Other Concrete Product Manufacturing ,,,
594,3274,Lime and Gypsum Product Manufacturing,,,
595,32741,Lime Manufacturing,,,
596,327410,Lime Manufacturing,,,
597,32742,Gypsum Product Manufacturing,,,
598,327420,Gypsum Product Manufacturing,,,
599,3279,Other Nonmetallic Mineral Product Manufacturing,,,
600,32791,Abrasive Product Manufacturing,,,
601,327910,Abrasive Product Manufacturing,,,
602,32799,All Other Nonmetallic Mineral Product Manufacturing,,,
603,327991,Cut Stone and Stone Product Manufacturing ,,,
604,327992,Ground or Treated Mineral and Earth Manufacturing ,,,
605,327993,Mineral Wool Manufacturing ,,,
606,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,,,
607,331,Primary Metal Manufacturing,,,
608,3311,Iron and Steel Mills and Ferroalloy Manufacturing,,,
609,33111,Iron and Steel Mills and Ferroalloy Manufacturing,,,
610,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,,,
611,3312,Steel Product Manufacturing from Purchased Steel,,,
612,33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,,
613,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,,
614,33122,Rolling and Drawing of Purchased Steel,,,
615,331221,Rolled Steel Shape Manufacturing ,,,
616,331222,Steel Wire Drawing ,,,
617,3313,Alumina and Aluminum Production and Processing,,,
618,33131,Alumina and Aluminum Production and Processing,,,
619,331313,Alumina Refining and Primary Aluminum Production ,,,
620,331314,Secondary Smelting and Alloying of Aluminum ,,,
621,331315,"Aluminum Sheet, Plate, and Foil Manufacturing ",,,
622,331318,"Other Aluminum Rolling, Drawing, and Extruding ",,,
623,3314,Nonferrous Metal (except Aluminum) Production and Processing,,,
624,33141,Nonferrous Metal (except Aluminum) Smelting and Refining,,,
625,331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,,,
626,33142,"Copper Rolling, Drawing, Extruding, and Alloying",,,
627,331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,
628,33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",,,
629,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",,,
630,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",,,
631,3315,Foundries,,,
632,33151,Ferrous Metal Foundries,,,
633,331511,Iron Foundries ,,,
634,331512,Steel Investment Foundries ,,,
635,331513,Steel Foundries (except Investment) ,,,
636,33152,Nonferrous Metal Foundries,,,
637,331523,Nonferrous Metal Die-Casting Foundries ,,,
638,331524,Aluminum Foundries (except Die-Casting) ,,,
639,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,,,
640,332,Fabricated Metal Product Manufacturing,,,
641,3321,Forging and Stamping,,,
642,33211,Forging and Stamping,,,
643,332111,Iron and Steel Forging ,,,
644,332112,Nonferrous Forging ,,,
645,332114,Custom Roll Forming ,,,
646,332117,Powder Metallurgy Part Manufacturing ,,,
647,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",,,
648,3322,Cutlery and Handtool Manufacturing,,,
649,33221,Cutlery and Handtool Manufacturing,,,
650,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",,,
651,332216,Saw Blade and Handtool Manufacturing ,,,
652,3323,Architectural and Structural Metals Manufacturing,,,
653,33231,Plate Work and Fabricated Structural Product Manufacturing,,,
654,332311,Prefabricated Metal Building and Component Manufacturing ,,,
655,332312,Fabricated Structural Metal Manufacturing ,,,
656,332313,Plate Work Manufacturing ,,,
657,33232,Ornamental and Architectural Metal Products Manufacturing,,,
658,332321,Metal Window and Door Manufacturing ,,,
659,332322,Sheet Metal Work Manufacturing ,,,
660,332323,Ornamental and Architectural Metal Work Manufacturing ,,,
661,3324,"Boiler, Tank, and Shipping Container Manufacturing",,,
662,33241,Power Boiler and Heat Exchanger Manufacturing,,,
663,332410,Power Boiler and Heat Exchanger Manufacturing,,,
664,33242,Metal Tank (Heavy Gauge) Manufacturing,,,
665,332420,Metal Tank (Heavy Gauge) Manufacturing,,,
666,33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",,,
667,332431,Metal Can Manufacturing ,,,
668,332439,Other Metal Container Manufacturing ,,,
669,3325,Hardware Manufacturing,,,
670,33251,Hardware Manufacturing,,,
671,332510,Hardware Manufacturing,,,
672,3326,Spring and Wire Product Manufacturing,,,
673,33261,Spring and Wire Product Manufacturing,,,
674,332613,Spring Manufacturing ,,,
675,332618,Other Fabricated Wire Product Manufacturing ,,,
676,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",,,
677,33271,Machine Shops,,,
678,332710,Machine Shops,,,
679,33272,"Turned Product and Screw, Nut, and Bolt Manufacturing",,,
680,332721,Precision Turned Product Manufacturing ,,,
681,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",,,
682,3328,"Coating, Engraving, Heat Treating, and Allied Activities",,,
683,33281,"Coating, Engraving, Heat Treating, and Allied Activities",,,
684,332811,Metal Heat Treating ,,,
685,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",,,
686,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",,,
687,3329,Other Fabricated Metal Product Manufacturing,,,
688,33291,Metal Valve Manufacturing,,,
689,332911,Industrial Valve Manufacturing ,,,
690,332912,Fluid Power Valve and Hose Fitting Manufacturing ,,,
691,332913,Plumbing Fixture Fitting and Trim Manufacturing ,,,
692,332919,Other Metal Valve and Pipe Fitting Manufacturing ,,,
693,33299,All Other Fabricated Metal Product Manufacturing,,,
694,332991,Ball and Roller Bearing Manufacturing,,,
695,332992,Small Arms Ammunition Manufacturing ,,,
696,332993,Ammunition (except Small Arms) Manufacturing ,,,
697,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",,,
698,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,,,
699,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,,
700,333,Machinery Manufacturing,,,
701,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",,,
702,33311,Agricultural Implement Manufacturing,,,
703,333111,Farm Machinery and Equipment Manufacturing ,,,
704,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,,,
705,33312,Construction Machinery Manufacturing,,,
706,333120,Construction Machinery Manufacturing,,,
707,33313,Mining and Oil and Gas Field Machinery Manufacturing,,,
708,333131,Mining Machinery and Equipment Manufacturing ,,,
709,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,,,
710,3332,Industrial Machinery Manufacturing,,,
711,33324,Industrial Machinery Manufacturing,,,
712,333241,Food Product Machinery Manufacturing ,,,
713,333242,Semiconductor Machinery Manufacturing ,,,
714,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",,,
715,333244,Printing Machinery and Equipment Manufacturing ,,,
716,333249,Other Industrial Machinery Manufacturing ,,,
717,3333,Commercial and Service Industry Machinery Manufacturing,,,
718,33331,Commercial and Service Industry Machinery Manufacturing,,,
719,333314,Optical Instrument and Lens Manufacturing ,,,
720,333316,Photographic and Photocopying Equipment Manufacturing ,,,
721,333318,Other Commercial and Service Industry Machinery Manufacturing ,,,
722,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",,,
723,33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",,,
724,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,,,
725,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,,,
726,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,,,
727,3335,Metalworking Machinery Manufacturing,,,
728,33351,Metalworking Machinery Manufacturing,,,
729,333511,Industrial Mold Manufacturing ,,,
730,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",,,
731,333515,Cutting Tool and Machine Tool Accessory Manufacturing ,,,
732,333517,Machine Tool Manufacturing ,,,
733,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,,,
734,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",,,
735,33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing",,,
736,333611,Turbine and Turbine Generator Set Units Manufacturing ,,,
737,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",,,
738,333613,Mechanical Power Transmission Equipment Manufacturing ,,,
739,333618,Other Engine Equipment Manufacturing ,,,
740,3339,Other General Purpose Machinery Manufacturing,,,
741,33391,Pump and Compressor Manufacturing,,,
742,333912,Air and Gas Compressor Manufacturing ,,,
743,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",,,
744,33392,Material Handling Equipment Manufacturing,,,
745,333921,Elevator and Moving Stairway Manufacturing ,,,
746,333922,Conveyor and Conveying Equipment Manufacturing ,,,
747,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",,,
748,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",,,
749,33399,All Other General Purpose Machinery Manufacturing,,,
750,333991,Power-Driven Handtool Manufacturing ,,,
751,333992,Welding and Soldering Equipment Manufacturing ,,,
752,333993,Packaging Machinery Manufacturing ,,,
753,333994,Industrial Process Furnace and Oven Manufacturing ,,,
754,333995,Fluid Power Cylinder and Actuator Manufacturing ,,,
755,333996,Fluid Power Pump and Motor Manufacturing ,,,
756,333997,Scale and Balance Manufacturing ,,,
757,333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,,,
758,334,Computer and Electronic Product Manufacturing,,,
759,3341,Computer and Peripheral Equipment Manufacturing,,,
760,33411,Computer and Peripheral Equipment Manufacturing,,,
761,334111,Electronic Computer Manufacturing ,,,
762,334112,Computer Storage Device Manufacturing ,,,
763,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,,,
764,3342,Communications Equipment Manufacturing,,,
765,33421,Telephone Apparatus Manufacturing,,,
766,334210,Telephone Apparatus Manufacturing,,,
767,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,,
768,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,,
769,33429,Other Communications Equipment Manufacturing,,,
770,334290,Other Communications Equipment Manufacturing,,,
771,3343,Audio and Video Equipment Manufacturing,,,
772,33431,Audio and Video Equipment Manufacturing,,,
773,334310,Audio and Video Equipment Manufacturing,,,
774,3344,Semiconductor and Other Electronic Component Manufacturing,,,
775,33441,Semiconductor and Other Electronic Component Manufacturing,,,
776,334412,Bare Printed Circuit Board Manufacturing  ,,,
777,334413,Semiconductor and Related Device Manufacturing ,,,
778,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",,,
779,334417,Electronic Connector Manufacturing ,,,
780,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,,,
781,334419,Other Electronic Component Manufacturing ,,,
782,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",,,
783,33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",,,
784,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,,,
785,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",,,
786,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",,,
787,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",,,
788,334514,Totalizing Fluid Meter and Counting Device Manufacturing ,,,
789,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,,,
790,334516,Analytical Laboratory Instrument Manufacturing ,,,
791,334517,Irradiation Apparatus Manufacturing ,,,
792,334519,Other Measuring and Controlling Device Manufacturing ,,,
793,3346,Manufacturing and Reproducing Magnetic and Optical Media,,,
794,33461,Manufacturing and Reproducing Magnetic and Optical Media,,,
795,334613,Blank Magnetic and Optical Recording Media Manufacturing ,,,
796,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",,,
797,335,"Electrical Equipment, Appliance, and Component Manufacturing",,,
798,3351,Electric Lighting Equipment Manufacturing,,,
799,33511,Electric Lamp Bulb and Part Manufacturing,,,
800,335110,Electric Lamp Bulb and Part Manufacturing,,,
801,33512,Lighting Fixture Manufacturing,,,
802,335121,Residential Electric Lighting Fixture Manufacturing ,,,
803,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",,,
804,335129,Other Lighting Equipment Manufacturing ,,,
805,3352,Household Appliance Manufacturing,,,
806,33521,Small Electrical Appliance Manufacturing,,,
807,335210,Small Electrical Appliance Manufacturing,,,
808,33522,Major Household Appliance Manufacturing ,,,
809,335220,Major Household Appliance Manufacturing ,,,
810,3353,Electrical Equipment Manufacturing,,,
811,33531,Electrical Equipment Manufacturing,,,
812,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",,,
813,335312,Motor and Generator Manufacturing ,,,
814,335313,Switchgear and Switchboard Apparatus Manufacturing ,,,
815,335314,Relay and Industrial Control Manufacturing ,,,
816,3359,Other Electrical Equipment and Component Manufacturing,,,
817,33591,Battery Manufacturing,,,
818,335911,Storage Battery Manufacturing ,,,
819,335912,Primary Battery Manufacturing ,,,
820,33592,Communication and Energy Wire and Cable Manufacturing,,,
821,335921,Fiber Optic Cable Manufacturing ,,,
822,335929,Other Communication and Energy Wire Manufacturing ,,,
823,33593,Wiring Device Manufacturing,,,
824,335931,Current-Carrying Wiring Device Manufacturing ,,,
825,335932,Noncurrent-Carrying Wiring Device Manufacturing ,,,
826,33599,All Other Electrical Equipment and Component Manufacturing,,,
827,335991,Carbon and Graphite Product Manufacturing ,,,
828,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,,,
829,336,Transportation Equipment Manufacturing,,,
830,3361,Motor Vehicle Manufacturing,,,
831,33611,Automobile and Light Duty Motor Vehicle Manufacturing,,,
832,336111,Automobile Manufacturing ,,,
833,336112,Light Truck and Utility Vehicle Manufacturing ,,,
834,33612,Heavy Duty Truck Manufacturing,,,
835,336120,Heavy Duty Truck Manufacturing,,,
836,3362,Motor Vehicle Body and Trailer Manufacturing,,,
837,33621,Motor Vehicle Body and Trailer Manufacturing,,,
838,336211,Motor Vehicle Body Manufacturing ,,,
839,336212,Truck Trailer Manufacturing ,,,
840,336213,Motor Home Manufacturing ,,,
841,336214,Travel Trailer and Camper Manufacturing ,,,
842,3363,Motor Vehicle Parts Manufacturing,,,
843,33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,,,
844,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,,,
845,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,,
846,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,,
847,33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,,
848,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,,
849,33634,Motor Vehicle Brake System Manufacturing,,,
850,336340,Motor Vehicle Brake System Manufacturing,,,
851,33635,Motor Vehicle Transmission and Power Train Parts Manufacturing,,,
852,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,,,
853,33636,Motor Vehicle Seating and Interior Trim Manufacturing,,,
854,336360,Motor Vehicle Seating and Interior Trim Manufacturing,,,
855,33637,Motor Vehicle Metal Stamping,,,
856,336370,Motor Vehicle Metal Stamping,,,
857,33639,Other Motor Vehicle Parts Manufacturing,,,
858,336390,Other Motor Vehicle Parts Manufacturing,,,
859,3364,Aerospace Product and Parts Manufacturing,,,
860,33641,Aerospace Product and Parts Manufacturing,,,
861,336411,Aircraft Manufacturing ,,,
862,336412,Aircraft Engine and Engine Parts Manufacturing ,,,
863,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,,
864,336414,Guided Missile and Space Vehicle Manufacturing ,,,
865,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,,,
866,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,,
867,3365,Railroad Rolling Stock Manufacturing,,,
868,33651,Railroad Rolling Stock Manufacturing,,,
869,336510,Railroad Rolling Stock Manufacturing,,,
870,3366,Ship and Boat Building,,,
871,33661,Ship and Boat Building,,,
872,336611,Ship Building and Repairing ,,,
873,336612,Boat Building ,,,
874,3369,Other Transportation Equipment Manufacturing,,,
875,33699,Other Transportation Equipment Manufacturing,,,
876,336991,"Motorcycle, Bicycle, and Parts Manufacturing ",,,
877,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,,
878,336999,All Other Transportation Equipment Manufacturing ,,,
879,337,Furniture and Related Product Manufacturing,,,
880,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,,,
881,33711,Wood Kitchen Cabinet and Countertop Manufacturing,,,
882,337110,Wood Kitchen Cabinet and Countertop Manufacturing,,,
883,33712,Household and Institutional Furniture Manufacturing,,,
884,337121,Upholstered Household Furniture Manufacturing ,,,
885,337122,Nonupholstered Wood Household Furniture Manufacturing ,,,
886,337124,Metal Household Furniture Manufacturing ,,,
887,337125,Household Furniture (except Wood and Metal) Manufacturing ,,,
888,337127,Institutional Furniture Manufacturing ,,,
889,3372,Office Furniture (including Fixtures) Manufacturing,,,
890,33721,Office Furniture (including Fixtures) Manufacturing,,,
891,337211,Wood Office Furniture Manufacturing ,,,
892,337212,Custom Architectural Woodwork and Millwork Manufacturing ,,,
893,337214,Office Furniture (except Wood) Manufacturing ,,,
894,337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",,,
895,3379,Other Furniture Related Product Manufacturing,,,
896,33791,Mattress Manufacturing,,,
897,337910,Mattress Manufacturing,,,
898,33792,Blind and Shade Manufacturing,,,
899,337920,Blind and Shade Manufacturing,,,
900,339,Miscellaneous Manufacturing,,,
901,3391,Medical Equipment and Supplies Manufacturing,,,
902,33911,Medical Equipment and Supplies Manufacturing,,,
903,339112,Surgical and Medical Instrument Manufacturing ,,,
904,339113,Surgical Appliance and Supplies Manufacturing ,,,
905,339114,Dental Equipment and Supplies Manufacturing ,,,
906,339115,Ophthalmic Goods Manufacturing ,,,
907,339116,Dental Laboratories ,,,
908,3399,Other Miscellaneous Manufacturing,,,
909,33991,Jewelry and Silverware Manufacturing,,,
910,339910,Jewelry and Silverware Manufacturing ,,,
911,33992,Sporting and Athletic Goods Manufacturing,,,
912,339920,Sporting and Athletic Goods Manufacturing,,,
913,33993,"Doll, Toy, and Game Manufacturing",,,
914,339930,"Doll, Toy, and Game Manufacturing",,,
915,33994,Office Supplies (except Paper) Manufacturing,,,
916,339940,Office Supplies (except Paper) Manufacturing,,,
917,33995,Sign Manufacturing,,,
918,339950,Sign Manufacturing,,,
919,33999,All Other Miscellaneous Manufacturing,,,
920,339991,"Gasket, Packing, and Sealing Device Manufacturing ",,,
921,339992,Musical Instrument Manufacturing ,,,
922,339993,"Fastener, Button, Needle, and Pin Manufacturing ",,,
923,339994,"Broom, Brush, and Mop Manufacturing ",,,
924,339995,Burial Casket Manufacturing ,,,
925,339999,All Other Miscellaneous Manufacturing ,,,
926,42,Wholesale Trade,,,
927,423,"Merchant Wholesalers, Durable Goods ",,,
928,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers ,,,
929,42311,Automobile and Other Motor Vehicle Merchant Wholesalers ,,,
930,423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,,,
931,42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,,,
932,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,,,
933,42313,Tire and Tube Merchant Wholesalers ,,,
934,423130,Tire and Tube Merchant Wholesalers ,,,
935,42314,Motor Vehicle Parts (Used) Merchant Wholesalers ,,,
936,423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,,,
937,4232,Furniture and Home Furnishing Merchant Wholesalers ,,,
938,42321,Furniture Merchant Wholesalers ,,,
939,423210,Furniture Merchant Wholesalers ,,,
940,42322,Home Furnishing Merchant Wholesalers ,,,
941,423220,Home Furnishing Merchant Wholesalers ,,,
942,4233,Lumber and Other Construction Materials Merchant Wholesalers ,,,
943,42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",,,
944,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",,,
945,42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",,,
946,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",,,
947,42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",,,
948,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",,,
949,42339,Other Construction Material Merchant Wholesalers ,,,
950,423390,Other Construction Material Merchant Wholesalers ,,,
951,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers ,,,
952,42341,Photographic Equipment and Supplies Merchant Wholesalers ,,,
953,423410,Photographic Equipment and Supplies Merchant Wholesalers ,,,
954,42342,Office Equipment Merchant Wholesalers ,,,
955,423420,Office Equipment Merchant Wholesalers ,,,
956,42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,,,
957,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,,,
958,42344,Other Commercial Equipment Merchant Wholesalers ,,,
959,423440,Other Commercial Equipment Merchant Wholesalers ,,,
960,42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",,,
961,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",,,
962,42346,Ophthalmic Goods Merchant Wholesalers ,,,
963,423460,Ophthalmic Goods Merchant Wholesalers ,,,
964,42349,Other Professional Equipment and Supplies Merchant Wholesalers ,,,
965,423490,Other Professional Equipment and Supplies Merchant Wholesalers ,,,
966,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers ,,,
967,42351,Metal Service Centers and Other Metal Merchant Wholesalers ,,,
968,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,,,
969,42352,Coal and Other Mineral and Ore Merchant Wholesalers ,,,
970,423520,Coal and Other Mineral and Ore Merchant Wholesalers ,,,
971,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers ,,,
972,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",,,
973,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",,,
974,42362,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",,,
975,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",,,
976,42369,Other Electronic Parts and Equipment Merchant Wholesalers ,,,
977,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,,,
978,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers ",,,
979,42371,Hardware Merchant Wholesalers ,,,
980,423710,Hardware Merchant Wholesalers ,,,
981,42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,,,
982,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,,,
983,42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,,,
984,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,,,
985,42374,Refrigeration Equipment and Supplies Merchant Wholesalers ,,,
986,423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,,,
987,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers ",,,
988,42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,,,
989,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,,,
990,42382,Farm and Garden Machinery and Equipment Merchant Wholesalers ,,,
991,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,,,
992,42383,Industrial Machinery and Equipment Merchant Wholesalers ,,,
993,423830,Industrial Machinery and Equipment Merchant Wholesalers ,,,
994,42384,Industrial Supplies Merchant Wholesalers ,,,
995,423840,Industrial Supplies Merchant Wholesalers,,,
996,42385,Service Establishment Equipment and Supplies Merchant Wholesalers ,,,
997,423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,,,
998,42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,,,
999,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,,,
1000,4239,Miscellaneous Durable Goods Merchant Wholesalers ,,,
1001,42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,
1002,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,,,
1003,42392,Toy and Hobby Goods and Supplies Merchant Wholesalers ,,,
1004,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,,,
1005,42393,Recyclable Material Merchant Wholesalers ,,,
1006,423930,Recyclable Material Merchant Wholesalers ,,,
1007,42394,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",,,
1008,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",,,
1009,42399,Other Miscellaneous Durable Goods Merchant Wholesalers ,,,
1010,423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,,,
1011,424,"Merchant Wholesalers, Nondurable Goods ",,,
1012,4241,Paper and Paper Product Merchant Wholesalers ,,,
1013,42411,Printing and Writing Paper Merchant Wholesalers ,,,
1014,424110,Printing and Writing Paper Merchant Wholesalers ,,,
1015,42412,Stationery and Office Supplies Merchant Wholesalers ,,,
1016,424120,Stationery and Office Supplies Merchant Wholesalers ,,,
1017,42413,Industrial and Personal Service Paper Merchant Wholesalers ,,,
1018,424130,Industrial and Personal Service Paper Merchant Wholesalers ,,,
1019,4242,Drugs and Druggists' Sundries Merchant Wholesalers ,,,
1020,42421,Drugs and Druggists' Sundries Merchant Wholesalers ,,,
1021,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,,,
1022,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers ",,,
1023,42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",,,
1024,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",,,
1025,42432,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,,,
1026,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,,,
1027,42433,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",,,
1028,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",,,
1029,42434,Footwear Merchant Wholesalers ,,,
1030,424340,Footwear Merchant Wholesalers ,,,
1031,4244,Grocery and Related Product Merchant Wholesalers ,,,
1032,42441,General Line Grocery Merchant Wholesalers ,,,
1033,424410,General Line Grocery Merchant Wholesalers ,,,
1034,42442,Packaged Frozen Food Merchant Wholesalers ,,,
1035,424420,Packaged Frozen Food Merchant Wholesalers ,,,
1036,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers ,,,
1037,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,,,
1038,42444,Poultry and Poultry Product Merchant Wholesalers ,,,
1039,424440,Poultry and Poultry Product Merchant Wholesalers ,,,
1040,42445,Confectionery Merchant Wholesalers ,,,
1041,424450,Confectionery Merchant Wholesalers ,,,
1042,42446,Fish and Seafood Merchant Wholesalers ,,,
1043,424460,Fish and Seafood Merchant Wholesalers ,,,
1044,42447,Meat and Meat Product Merchant Wholesalers ,,,
1045,424470,Meat and Meat Product Merchant Wholesalers ,,,
1046,42448,Fresh Fruit and Vegetable Merchant Wholesalers ,,,
1047,424480,Fresh Fruit and Vegetable Merchant Wholesalers ,,,
1048,42449,Other Grocery and Related Products Merchant Wholesalers ,,,
1049,424490,Other Grocery and Related Products Merchant Wholesalers ,,,
